Filename	Novel	Genre	ID	Author	Title	Length
FB_10036118	FB	CF	10036118	delibell	Amortentia.	15500
FB_10057400	FB	CF	10057400	MerryLilHobbit	Stitch by Stitch	18012
FB_10116890	FB	CF	10116890	Truetomorrow	Five Times Seraphina Incorrectly Guessed Percival's Middle Name, and the One Time He Told Her	5524
FB_10202474	FB	CF	10202474	theescapist99	The Heart Asks Pleasure First	6189
FB_10238768	FB	CF	10238768	kamikaze43v3r	Trinket Troubles	8491
FB_10241984	FB	CF	10241984	MonsieurMadeleine	Fucked Up, Literally	9143
FB_10292615	FB	CF	10292615	MercurialTenacity	Desire Is a Gift in Life	5772
FB_10312310	FB	CF	10312310	vaderina	Birds of a Feather	8845
FB_10327295	FB	CF	10327295	MartyGras	Limerence	17780
FB_10333253	FB	CF	10333253	Nightmare_in_Pink	You for Me, Me for You	5155
FB_10384371	FB	CF	10384371	Whitehorse102	A Burning Sensation	6148
FB_10396884	FB	CF	10396884	KatieHavok	Blood Roses	5401
FB_10421313	FB	CF	10421313	KatieHavok	Brimstone	12354
FB_10437621	FB	CF	10437621	KatieHavok	Medusa and Hemlock	5769
FB_10451001	FB	CF	10451001	ravensnwritingdesks	Making an Effort	19370
FB_10468920	FB	CF	10468920	madswritings	Caught in the crossfire	13899
FB_10475103	FB	CF	10475103	dannissa	Pulling Strings	8565
FB_10488756	FB	CF	10488756	obscure_obscurus	Pictures of You	13263
FB_10494132	FB	CF	10494132	yogurt3200	Wildest Dream	17782
FB_10508073	FB	CF	10508073	JulietteWolfe	The Strange and Obscure	5022
FB_10513821	FB	CF	10513821	MurderIsMyPasstime	A Stir of Bones	6137
FB_10517118	FB	CF	10517118	KatieHavok	In The Space Between Breaths	10655
FB_10520589	FB	CF	10520589	flightinflame	A Tiny Problem	5009
FB_10523772	FB	CF	10523772	LokasennaHiddleston	Tony Stark is Dead... Long Live Tony Riddle	14136
FB_10525821	FB	CF	10525821	Imogen74	Safe	8218
FB_10551398	FB	CF	10551398	KatieHavok	Close Every Door	13755
FB_10555098	FB	CF	10555098	kallistob	Paris Is Considerably More Interesting Than I Expected	15603
FB_10563015	FB	CF	10563015	returntosaturn	Back on the Map	16496
FB_10575732	FB	CF	10575732	Megii_of_Mysteri_OusStranger	Eight Candles	5578
FB_10589022	FB	CF	10589022	vaderina	Of Gold Stars and Red Dots	14896
FB_10657761	FB	CF	10657761	flightinflame	Someone Today	6330
FB_10695825	FB	CF	10695825	writingramblr	Loss of Control	6234
FB_10706868	FB	CF	10706868	NightsMistress	Turn (slightly) Left	10017
FB_10707567	FB	CF	10707567	Dreamers_den	Life with Obscurus	5399
FB_10714080	FB	CF	10714080	Geekygirl24	Happiness Can Be Found	6810
FB_10733265	FB	CF	10733265	alamorn	The Boot is Famous to the Earth	14950
FB_10739559	FB	CF	10739559	whimsicalwords	bewitched	6684
FB_10746426	FB	CF	10746426	magicalcrapulent	How to save the Magical Congress of the United States	7431
FB_10768842	FB	CF	10768842	GoddessOfShitpost	Obscurities of a Hufflepuff's Life	15805
FB_10793580	FB	CF	10793580	MercurialTenacity	You Have Been Left Alone	8053
FB_10818072	FB	CF	10818072	WaywardGraves	A Little Problem	5342
FB_10885158	FB	CF	10885158	Anonymous	Take Me Home Tonight	5054
FB_10901835	FB	CF	10901835	roblet	Mr. Daddy Long-Legs Smith	11687
FB_10907166	FB	CF	10907166	MerryLilHobbit	Protect Them	11528
FB_10913970	FB	CF	10913970	canis_m	Six of Sabers	5721
FB_10930182	FB	CF	10930182	pastelcredence	Lockers	18727
FB_10954155	FB	CF	10954155	ravensnwritingdesks	From His Lips Not Words Alone Pleased Her	6882
FB_10991337	FB	CF	10991337	Go_get_Jakes_gun	Safe?	6720
FB_10991397	FB	CF	10991397	tuppenny	Lost in the Snow	5468
FB_10999002	FB	CF	10999002	diwata	one hand, one heart	5392
FB_11016390	FB	CF	11016390	Esta Camille Lupin (edye327)	While the world let go	6897
FB_11071920	FB	CF	11071920	flightinflame	Ten Letters and Two Wars	11838
FB_11106828	FB	CF	11106828	ProvenceSimm	Undoubtedly Yours	5626
FB_11110851	FB	CF	11110851	nerdygaycas	Sea Souls	6718
FB_11162022	FB	CF	11162022	KatieHavok	Rainy Day	6743
FB_11162325	FB	CF	11162325	kopperblaze	Like Common People	12803
FB_11240955	FB	CF	11240955	diwata	lonely water	5042
FB_11276970	FB	CF	11276970	Zalanchenko	After the Fact	19577
FB_11343843	FB	CF	11343843	bluebeholder	Into the Woods	10776
FB_11346141	FB	CF	11346141	almostannette	this boy's an open page	6797
FB_11353032	FB	CF	11353032	Truetomorrow	Full of Belonging (and so full of love)	5667
FB_11362380	FB	CF	11362380	MercurialTenacity	Play Rough and Tumble	7932
FB_11477382	FB	CF	11477382	Anonymous	A Hero with a False Name	9060
FB_11493945	FB	CF	11493945	MerryLilHobbit	Working Overtime	5249
FB_11509089	FB	CF	11509089	KatieHavok	The Man Who Sold The World	5044
FB_11571747	FB	CF	11571747	ElisAttack	a modern woman	5089
FB_11604000	FB	CF	11604000	attica_writes	The Only Living Girl in New York	5522
FB_11618757	FB	CF	11618757	vaderina	All Dogs Go To Heaven.	6509
FB_11627301	FB	CF	11627301	bluebeholder	the no-maj	7133
FB_11685036	FB	CF	11685036	vaderina	Born To Take	11671
FB_11767326	FB	CF	11767326	KissMeCthulhu	That is Not Dead Which Can Eternal Lie (and with strange aeons, even death may die)	12268
FB_11784423	FB	CF	11784423	ROSSELLA1	Puppy Dog Eyes	5498
FB_11789205	FB	CF	11789205	NaughtyLokiStories	What Can I Do?	6137
FB_11852862	FB	CF	11852862	aerospaces	a number of unfinished #colezra fics	16443
FB_11900439	FB	CF	11900439	Chiaroscuro	The Soul Will Speak	18082
FB_11924202	FB	CF	11924202	Descaladumidera	Good Enough	13684
FB_12042273	FB	CF	12042273	vaderina	When The Canary Stops Singing	11006
FB_12086580	FB	CF	12086580	Aate	Simple Things	7331
FB_12117165	FB	CF	12117165	iidams	Gifts of pleasure	8375
FB_12117306	FB	CF	12117306	space_pigeon	Come Back Home	8695
FB_12143223	FB	CF	12143223	bluebeholder	Fluff Therapy	8003
FB_12177063	FB	CF	12177063	Footloose	Heart on a Hook	10672
FB_12241077	FB	CF	12241077	MerryLilHobbit	Least Wanted	12919
FB_12283221	FB	CF	12283221	dailandin	A tie that binds	10892
FB_12320535	FB	CF	12320535	startabby	A Tale of Two Letters	17561
FB_12365511	FB	CF	12365511	gryffindorsqueen	First-Name Basis	7705
FB_12554336	FB	CF	12554336	TheSilverQueen	The Seven Days of Credence	11834
FB_12788679	FB	CF	12788679	dannissa	Shut up and drive	9952
FB_12808392	FB	CF	12808392	Descaladumidera	‘You are not alone.’	7928
FB_12825402	FB	CF	12825402	OrissC	Freedom and all the Expenses	7039
FB_12846105	FB	CF	12846105	shannsleeve	Fantastic Vignettes	5051
FB_12851298	FB	CF	12851298	Binary_Sunset	It's You I'll Fall For	6723
FB_12874254	FB	CF	12874254	Coffeegirl84	Advent calender Stories	7556
FB_12967728	FB	CF	12967728	lady_needless_litany	Operation Thorndike	8105
FB_13056315	FB	CF	13056315	duckiesinaline	Much Ado About Everything	5236
FB_13265949	FB	CF	13265949	grayroze	Just Say You’re in Love	8885
FB_13313622	FB	CF	13313622	almostannette	Hold My Soul	6955
FB_13333809	FB	CF	13333809	JoleneMarselis	Freak	17082
FB_13358952	FB	CF	13358952	lyonet	Until Story's End	16381
FB_13365807	FB	CF	13365807	Anonymous	Endure, and Fight On	8840
FB_13407591	FB	CF	13407591	eclecticanarchist	Turning Grand	10478
FB_13604286	FB	CF	13604286	scribacchina	revenant	9352
FB_13662171	FB	CF	13662171	jusrecht	Till It was a Battle Cry	5154
FB_13685235	FB	CF	13685235	dontyoudarestiles	pretty	5036
FB_13791684	FB	CF	13791684	petofi	The Care and Keeping of Percival Graves	10839
FB_14072769	FB	CF	14072769	Salina	Fantastic Beasts and Where They Went	10813
FB_14308404	FB	CF	14308404	Kaleido_dance	A good teacher	8076
FB_14357595	FB	CF	14357595	lilolilyrae	Friendly Fire	9559
FB_14379033	FB	CF	14379033	EnlightenedSt8sman	Tom and the Beauxbatons	12349
FB_14417154	FB	CF	14417154	mozbee	Neighbours	10816
FB_14433579	FB	CF	14433579	Daughter_of_Thranduil	Cosima Scamander and the Chamber of Secrets	6081
FB_14446209	FB	CF	14446209	LadyIrina	Declaration	5916
FB_14546547	FB	CF	14546547	gryffindorsqueen	A Close Friend	5611
FB_14580924	FB	CF	14580924	Descaladumidera	The Gift	5778
FB_14614509	FB	CF	14614509	bastilas	Sleep to Dream Away Time	7391
FB_14622000	FB	CF	14622000	LotusRox	Blues Are To Sing And Swallow	8155
FB_14657589	FB	CF	14657589	BeaSox	Cold Bones	9575
FB_14748530	FB	CF	14748530	RaiMagnolia	What am I Going to Do With You?	5437
FB_14818775	FB	CF	14818775	Bellarsam_Chrisjulittle	NewTina By Night	12877
FB_14826950	FB	CF	14826950	KatieHavok	The Second Sasquatch Rebellion	6357
FB_8595046	FB	CF	8595046	Sanna_Black_Slytherin	the memory of our friendship	5166
FB_8612125	FB	CF	8612125	orphan_account	Watching It Burn	18294
FB_8628700	FB	CF	8628700	theStarfly	An Ever-Fixed Death	5330
FB_8634775	FB	CF	8634775	Signe_chan	The one chance I had	5571
FB_8669305	FB	CF	8669305	writingramblr	Eternity In A Heartbeat	7822
FB_8680912	FB	CF	8680912	etrama	Magical Encounters	12855
FB_8684860	FB	CF	8684860	writerfan2013	The Thirty-seven Steps	14922
FB_8691700	FB	CF	8691700	Fantony	Don't smile at me like that	13733
FB_8693101	FB	CF	8693101	dragons_and_angels	Take A Step Back	8401
FB_8693206	FB	CF	8693206	Thomas_H_Bombadil	Incorrigible	13141
FB_8694736	FB	CF	8694736	Natecchi	The Wizard's Cat	15311
FB_8695339	FB	CF	8695339	ashleighjane	She Loved Him; Unconditionally	5380
FB_8710714	FB	CF	8710714	Smarieh (orphan_account)	The Osprey	15343
FB_8715037	FB	CF	8715037	Lindzzz	A Study on the Habits of the Adult Obscurial	16867
FB_8716384	FB	CF	8716384	15Acesplz	Always Together	12458
FB_8718547	FB	CF	8718547	SnowGivesMeVertigo	Periwinkle	9984
FB_8725624	FB	CF	8725624	TheArpil_MiyukiTanji1826	Fantastic Newt and Where To Find Lottie	17554
FB_8743393	FB	CF	8743393	spunknbite	Giggle Water	7098
FB_8748019	FB	CF	8748019	GeneralHux	Oh, You Pretty Thing	7502
FB_8756827	FB	CF	8756827	Doceo_Percepto	Every Beast Has Its Home	7552
FB_8764333	FB	CF	8764333	snarry_splitpea	On Forest Floor, My Fawn	6029
FB_8775997	FB	CF	8775997	Loufok	Fantastic Beasts Network [english version]	8237
FB_8789068	FB	CF	8789068	ApurricatingCat	Of cats	12208
FB_8802358	FB	CF	8802358	The_Forgotten_Nobody	Just A Fwubbing Thing	7591
FB_8809828	FB	CF	8809828	IAmTheGoatMaster	Bonded.	10440
FB_8814958	FB	CF	8814958	AlinasTeaParty	Taking Credence to Diagon Alley	11255
FB_8815297	FB	CF	8815297	chiefenjolras	He Had Not The Luxury	6673
FB_8816929	FB	CF	8816929	dragons_and_angels	Payment	5213
FB_8817454	FB	CF	8817454	Neverletgo89	Heart of Stone	5063
FB_8826640	FB	CF	8826640	chaoticlogic	Nevermore	5533
FB_8826676	FB	CF	8826676	ThatEvergreenGirl	Friends with oneself	11014
FB_8828227	FB	CF	8828227	Oneroika_Lunae	A knight in a bright blue coat	15474
FB_8831923	FB	CF	8831923	mearchuimhne	Disguise, I see thou art a wickedness	11611
FB_8854672	FB	CF	8854672	ChangeTheCircumstances	Unconsolable	9809
FB_8889700	FB	CF	8889700	ottertrashpalace	I dream her dreams	5326
FB_8907502	FB	CF	8907502	That_stupid_girl	Bring Me Heartache	7333
FB_8912653	FB	CF	8912653	hallaratthemoon (orphan_account)	Newt Scamander Reader-Inserts	6641
FB_8916415	FB	CF	8916415	MerryLilHobbit	Thread By Thread	6904
FB_8918257	FB	CF	8918257	Saentorine	Without So Much of a Flick of a Wand	5105
FB_8920888	FB	CF	8920888	lyonet	Constant Vigilance (Both Eyes Open)	6055
FB_8947381	FB	CF	8947381	queenjameskirk	We're Only Good For The Latest Trends	12842
FB_8975332	FB	CF	8975332	Captain_Mercurian	The reddest flag ever raised	13111
FB_9037532	FB	CF	9037532	superagentwolf	Magnificent (Instrumental)	11473
FB_9103285	FB	CF	9103285	Assets135	Tea and Coffee	9850
FB_9104467	FB	CF	9104467	esama	Tumbling fbawtft	13271
FB_9134674	FB	CF	9134674	Thomas_H_Bombadil	The Stranger	9690
FB_9152509	FB	CF	9152509	starwrite_er	Daring	7531
FB_9180304	FB	CF	9180304	weatheredlaw	carry what you can	12487
FB_9181243	FB	CF	9181243	lilithduvare	The Eros of Magic	12996
FB_9190532	FB	CF	9190532	facelessoldwoman	In Estrus	10497
FB_9203657	FB	CF	9203657	classicasshole	Aftermath	8722
FB_9219431	FB	CF	9219431	NeverAndAlways	How I love you, how I love you	8675
FB_9302078	FB	CF	9302078	Natecchi	Codename: Lili	5190
FB_9302402	FB	CF	9302402	classicasshole	I love my love	14459
FB_9314729	FB	CF	9314729	L_M_Biggs	Deserving of Love	7324
FB_9320978	FB	CF	9320978	xox_cathy_love	A Little Jingle	5921
FB_9322685	FB	CF	9322685	gold_pebble	The Cursed Bitch	11650
FB_9339902	FB	CF	9339902	flightinflame	Opportunity makes the Thief	6805
FB_9380378	FB	CF	9380378	tastewithouttalent	Spellbound	9159
FB_9383372	FB	CF	9383372	harperhug	I Used To Live Alone Before I Knew You	5036
FB_9395027	FB	CF	9395027	LoveLetterPolaroids	Praying for a home in your arms	9852
FB_9417650	FB	CF	9417650	Truetomorrow	Hurt whilst you can	6900
FB_9423494	FB	CF	9423494	snarry_splitpea	A Little Shook Up	8071
FB_9445562	FB	CF	9445562	DraconicSeraphim	Intruders	5455
FB_9480893	FB	CF	9480893	Nami	You're interesting	7646
FB_9494510	FB	CF	9494510	prosodiical	Masquerade	10374
FB_9550832	FB	CF	9550832	lyonet	They Aren't Dangerous (Until They Are)	6777
FB_9552590	FB	CF	9552590	IamSoUnpredictable	Do I live only for suffering?	8453
FB_9557984	FB	CF	9557984	Inzey	The ending is the same every damn time	9027
FB_9587102	FB	CF	9587102	SolarMorrigan	Detectable Extensions	9283
FB_9602051	FB	CF	9602051	magnificentmoose	too much smoke	5909
FB_9608468	FB	CF	9608468	jeahtastic	Shooting Stars, Falling Objects	19490
FB_9614909	FB	CF	9614909	imagaypotatoe	Treasures are Discovered By Those That Pursue Them	16353
FB_9627731	FB	CF	9627731	Slayer_of_Destiny	A Love That Transcends Time	8136
FB_9667736	FB	CF	9667736	Miss_Lv	Sharing Is Caring	6020
FB_9683291	FB	CF	9683291	RosVailintin	Schrei	11742
FB_9707159	FB	CF	9707159	Diggy	the Peruvian Vipertooth	6471
FB_9726596	FB	CF	9726596	DiamondbackMako16	Jacob's Grimm World	9791
FB_9770012	FB	CF	9770012	alamorn	bare-stript heart	5016
FB_9860450	FB	CF	9860450	adrift_me	In The Spotlight	5748
GOT_1004090	GOT	HF	1004090	averita	Comment Fic and Ficlets	5952
GOT_10185635	GOT	HF	10185635	Twilightbrightstar	No One Asks for Their Life to Change (But It Does)	6072
GOT_10221719	GOT	HF	10221719	smaragaide	Truth	6441
GOT_10223930	GOT	HF	10223930	So_Many_Feelings	Coffee Break	6217
GOT_10691862	GOT	HF	10691862	vivilove	The Showgirl & the Pit Boss	13194
GOT_10929030	GOT	HF	10929030	Sarah_Black	The Accident	6673
GOT_10932006	GOT	HF	10932006	siriuslydraco	The Love of a Lady	15750
GOT_10934709	GOT	HF	10934709	TheCookieOfDoom	Family Reunions	11433
GOT_10990782	GOT	HF	10990782	willowoftheriver	my tomb will be a stage where great cities rise	7269
GOT_11045343	GOT	HF	11045343	TheCookieOfDoom	Pretty As A Painting	13538
GOT_11076564	GOT	HF	11076564	Raddtaire	Thunder and Lightening	7211
GOT_11083344	GOT	HF	11083344	tran_quill	The lady and the beast	14293
GOT_1131347	GOT	HF	1131347	auroreanrave	You Have All The Weapons You Need	8783
GOT_1134524	GOT	HF	1134524	Sansastarklives	The Runaways	7931
GOT_11366163	GOT	HF	11366163	Dialux	you were born with a word on your tongue	13732
GOT_11477829	GOT	HF	11477829	geekprincess26	Four Weddings and a Blizzard	16651
GOT_11489583	GOT	HF	11489583	Loyal_To_Castiel	Take Me To Godswood	7512
GOT_11495529	GOT	HF	11495529	LadyMD	How a Stark Endures.	6525
GOT_1150331	GOT	HF	1150331	preraphhobbit	Across the Sunset Sea	7109
GOT_11531043	GOT	HF	11531043	LadySeaSauvage	Collateral Damage	12139
GOT_11545893	GOT	HF	11545893	LadyMD	Ars Longa, Vita Brevis	10443
GOT_11568732	GOT	HF	11568732	Veridissima	Finally Meeting	5815
GOT_11683116	GOT	HF	11683116	Flayedprincess	A Rose In Winter	5337
GOT_11700570	GOT	HF	11700570	dreadwulf	Terrible Love	16512
GOT_11702454	GOT	HF	11702454	TheBeautyOfTarth	The Stranger	15200
GOT_11753535	GOT	HF	11753535	iKnowTheWay	A True Name	19635
GOT_11789832	GOT	HF	11789832	petyrbaelishking	Hurricane	10533
GOT_11841330	GOT	HF	11841330	ChangeTheCircumstances	The Woman with the Broken Neck and the Pink Dress	8626
GOT_11847225	GOT	HF	11847225	AryaSnow	From the Lands of Ice and Fire	11568
GOT_11853006	GOT	HF	11853006	elainebarrish	all the broken glass sparkling	5454
GOT_11901300	GOT	HF	11901300	tinywriter81	Wicked Game	5649
GOT_11909412	GOT	HF	11909412	OnlyInAutumn	Collide	10740
GOT_11940579	GOT	HF	11940579	theonsfavouritetoy	Honour and Wantonness	16885
GOT_11959188	GOT	HF	11959188	Red_berry_7	As promised	8945
GOT_12037041	GOT	HF	12037041	thecatonlyknows	more than a creeping thing	8071
GOT_12088152	GOT	HF	12088152	vslayer999	Scars	5690
GOT_12287127	GOT	HF	12287127	roseweasley	as soft and silent as memory	5085
GOT_12288342	GOT	HF	12288342	RunningRedRiot	In Winter's Grasp	8843
GOT_12329703	GOT	HF	12329703	Janina	Who's Afraid of Jon Snow?	7559
GOT_12361116	GOT	HF	12361116	Shanaya91	Lion's love	7634
GOT_1238404	GOT	HF	1238404	Laurel_Lilium	The Hereafter	10379
GOT_12404412	GOT	HF	12404412	LilacDove	The Last Days of Summer	5594
GOT_12489040	GOT	HF	12489040	lazy_bird	Lips That Dared Not Speak Its Name	11390
GOT_12507052	GOT	HF	12507052	novera_nope	Golden hands	15441
GOT_13098417	GOT	HF	13098417	Aerion_Veryzes	The Hidden Dragon	18787
GOT_13323564	GOT	HF	13323564	Nabila	Love is not meant to be hidden	5469
GOT_13381458	GOT	HF	13381458	Mis_Shapes	You're used to being told that you're trouble	6200
GOT_13438761	GOT	HF	13438761	Redlux	A River of Blood	5316
GOT_13439613	GOT	HF	13439613	Samarkand12	Writ Small	6030
GOT_13492218	GOT	HF	13492218	luckandillusions	The Crown	5760
GOT_13553250	GOT	HF	13553250	ANocturnalCow212	Union of the Divine	9042
GOT_13563387	GOT	HF	13563387	PiwakawakaOz	Away From That Lot	12296
GOT_13643676	GOT	HF	13643676	robbaery	I'm Crazy for You	10549
GOT_13689579	GOT	HF	13689579	JanessaWolfSoul	Touchable Flames (Sandor/OFC)	16007
GOT_13774104	GOT	HF	13774104	freakydeakykhaleesi	Lorry the Crustacean	6016
GOT_13778199	GOT	HF	13778199	framboise	Soft, soft, slow	14547
GOT_1380988	GOT	HF	1380988	BillieTheKid	Those Brown Eyes	8722
GOT_13824054	GOT	HF	13824054	Kristilove	Love in Doses	11566
GOT_13878780	GOT	HF	13878780	graceverse	this sudden inexplicable madness	6174
GOT_13915761	GOT	HF	13915761	Kmaxwell1997	The Real Battle	13503
GOT_13969572	GOT	HF	13969572	framboise	Just a casual, temporary, thing	18787
GOT_1417746	GOT	HF	1417746	Genkai	Reputation of Deception	8678
GOT_14256564	GOT	HF	14256564	HouseGameOfPotter	Under The Table	5564
GOT_14339841	GOT	HF	14339841	Joan_of_Arc	And now it ends ...	11514
GOT_14374461	GOT	HF	14374461	jenoftarth	Camp Westeros	13929
GOT_14492649	GOT	HF	14492649	animalnitrate	White Light/White Heat	8383
GOT_14635287	GOT	HF	14635287	mimiofthemalfoys	Tin, Paper, Snow	17752
GOT_14685618	GOT	HF	14685618	northbound	Fallen From Heaven (Raised Out of Hell)	7284
GOT_14806005	GOT	HF	14806005	MaxBetta	Lost and Found	6104
GOT_14880212	GOT	HF	14880212	MissEmmanuelle	The Debt	5670
GOT_14996711	GOT	HF	14996711	Hollandoodle	The Meanings Of Flowers	5679
GOT_15012092	GOT	HF	15012092	Shelby46	Deep in the Heart of a Lone Star Lady - Jonsa Historical AU Texas 1800's	11258
GOT_15024989	GOT	HF	15024989	moonlittides	Where Will We Go?	6769
GOT_15035690	GOT	HF	15035690	BySpaceByTime	Bondage	11246
GOT_1539677	GOT	HF	1539677	InnerWorkings94Imagines	The Unknown	7889
GOT_1557383	GOT	HF	1557383	fleetingmusings	Through His Lens	9993
GOT_1612538	GOT	HF	1612538	mllevangogh	What Is Dead May Never Die	5779
GOT_1621829	GOT	HF	1621829	isasolan	Of Dornish Sun and Dragons	5313
GOT_1650032	GOT	HF	1650032	TrivialPursuit	You Want a Better Story	5243
GOT_1673933	GOT	HF	1673933	Joan_of_Arc	A Vision and a Mission	17922
GOT_1699694	GOT	HF	1699694	Redheadclover	The Tale of a Dressmaker Named Stark	13783
GOT_1778137	GOT	HF	1778137	downlookingup	I'm Praying For A Miracle (But I Won't Hold My Breath)	5796
GOT_1813351	GOT	HF	1813351	janie_tangerine	take me down to the paradise city (won't you please take me home)	7119
GOT_1851913	GOT	HF	1851913	alaynes	In All Its Forms	14039
GOT_1857018	GOT	HF	1857018	Kereea	Sheep in Wolf's Clothing	9992
GOT_1870521	GOT	HF	1870521	Greeneyesthickthighs	Who I Might`ve Been	5897
GOT_1887453	GOT	HF	1887453	illiadus	You Skate Or You Die, Dude.	13069
GOT_1888374	GOT	HF	1888374	SomeEnchantedEve	The angels fly around in there but we can't see them	7806
GOT_1951719	GOT	HF	1951719	DuschaPendragon	All Monster's Have A Home	11937
GOT_1986243	GOT	HF	1986243	TheDoctorin221b	Casterly R.O.C.K.	6621
GOT_2086983	GOT	HF	2086983	Kereea	I'll Be Your Ocean	7721
GOT_2221083	GOT	HF	2221083	ygrittebardots	the long way home	6183
GOT_2254995	GOT	HF	2254995	Ashesintheair	Silver Screen	6199
GOT_2266857	GOT	HF	2266857	Sokorra	A Spring Path	9808
GOT_2272593	GOT	HF	2272593	Deathtouch	Beneath The Dreadfort	6031
GOT_2303990	GOT	HF	2303990	Lady_Winterrose	When the winter comes	5788
GOT_2331488	GOT	HF	2331488	Madara_Nycteris	Snowflower	11172
GOT_2590838	GOT	HF	2590838	Book_of_Kells	All Through The Night	5372
GOT_270462	GOT	HF	270462	honey_wheeler	the place you call home	15388
